job_id,arrival_time,mi,required_cores,location,delay_sensitivity,deadline
0,1,149,1,micro_dc_dcu,tolerant,2
1,2,556,4,micro_dc_dcu,tolerant,2
2,2,2096,8,micro_dc_ucd,tolerant,1
3,2,5516,20,micro_dc_ucd,moderate,5
4,3,3946,20,micro_dc_ucd,tolerant,0
5,4,364,2,micro_dc_dcu,critical,1
6,4,2691,18,micro_dc_ucd,tolerant,5
7,4,2535,12,micro_dc_dcu,critical,1
8,5,3490,18,micro_dc_dcu,tolerant,2
9,5,2776,16,micro_dc_dcu,critical,4
10,5,5619,20,micro_dc_dcu,tolerant,3
11,6,1119,10,micro_dc_ucd,tolerant,1
12,6,1389,10,micro_dc_ucd,tolerant,0
13,6,2435,20,micro_dc_ucd,moderate,0
14,6,896,6,micro_dc_dcu,tolerant,0
15,7,1800,14,micro_dc_ucd,tolerant,1
16,7,2011,12,micro_dc_dcu,critical,3
17,8,187,1,micro_dc_ucd,moderate,3
18,9,1009,10,micro_dc_ucd,critical,0
19,9,1526,20,micro_dc_dcu,moderate,4
20,9,3308,16,micro_dc_dcu,moderate,0
21,9,4242,18,micro_dc_dcu,moderate,2
22,10,540,2,micro_dc_ucd,tolerant,2
23,10,2555,18,micro_dc_ucd,critical,0
24,10,577,2,micro_dc_ucd,critical,0
25,11,1879,8,micro_dc_ucd,tolerant,3
26,11,1712,14,micro_dc_ucd,moderate,1
27,12,3669,18,micro_dc_dcu,critical,4
28,12,188,1,micro_dc_dcu,tolerant,2
29,12,766,10,micro_dc_dcu,tolerant,0
30,13,2224,8,micro_dc_ucd,tolerant,3
31,13,629,4,micro_dc_ucd,critical,5
32,13,3950,20,micro_dc_dcu,tolerant,5
33,13,1700,20,micro_dc_ucd,moderate,5
34,14,1123,4,micro_dc_ucd,tolerant,4
35,15,296,1,micro_dc_dcu,tolerant,3
36,15,651,10,micro_dc_ucd,tolerant,1
37,16,3192,14,micro_dc_ucd,critical,1
38,16,1854,8,micro_dc_ucd,tolerant,2
39,17,4415,16,micro_dc_dcu,critical,2
40,17,3224,18,micro_dc_dcu,tolerant,2
41,17,2355,12,micro_dc_dcu,moderate,5
42,18,1807,16,micro_dc_ucd,critical,5
43,18,1022,8,micro_dc_ucd,critical,1
44,18,725,10,micro_dc_ucd,tolerant,3
45,18,462,4,micro_dc_ucd,tolerant,5
46,19,158,2,micro_dc_ucd,moderate,2
47,19,1434,6,micro_dc_ucd,moderate,5
48,19,3116,12,micro_dc_ucd,moderate,2
49,20,70,1,micro_dc_ucd,tolerant,2
50,21,2823,18,micro_dc_dcu,tolerant,1
51,21,348,2,micro_dc_dcu,critical,4
52,22,1652,8,micro_dc_dcu,moderate,2
53,22,2352,8,micro_dc_dcu,tolerant,5
54,23,715,6,micro_dc_ucd,moderate,0
55,23,4961,20,micro_dc_dcu,tolerant,1
56,24,2556,10,micro_dc_ucd,moderate,0
57,24,364,2,micro_dc_ucd,moderate,4
58,24,1135,16,micro_dc_dcu,critical,4
59,24,235,1,micro_dc_dcu,critical,1
60,25,1212,6,micro_dc_dcu,moderate,5
61,25,183,1,micro_dc_dcu,critical,1
62,26,3065,16,micro_dc_dcu,tolerant,1
63,26,4374,16,micro_dc_ucd,moderate,1
64,26,4987,18,micro_dc_dcu,critical,4
65,26,778,4,micro_dc_dcu,moderate,4
66,27,77,1,micro_dc_dcu,tolerant,5
67,27,2298,8,micro_dc_dcu,tolerant,3
68,28,3957,14,micro_dc_ucd,moderate,2
69,28,1707,20,micro_dc_ucd,tolerant,1
70,28,373,2,micro_dc_ucd,moderate,2
71,28,4954,18,micro_dc_ucd,tolerant,3
72,29,515,8,micro_dc_ucd,critical,5
73,30,496,2,micro_dc_ucd,tolerant,4
74,30,5873,20,micro_dc_ucd,critical,4
75,30,235,1,micro_dc_dcu,tolerant,5
76,30,525,6,micro_dc_ucd,tolerant,5
77,31,3169,16,micro_dc_ucd,critical,1
78,32,411,4,micro_dc_dcu,tolerant,1
79,32,248,2,micro_dc_ucd,critical,3
80,33,329,2,micro_dc_ucd,moderate,5
81,33,4324,16,micro_dc_ucd,moderate,3
82,33,886,14,micro_dc_dcu,critical,4
83,33,3208,14,micro_dc_ucd,tolerant,3
84,34,3148,12,micro_dc_dcu,moderate,0
85,34,1801,18,micro_dc_ucd,critical,2
86,35,1483,10,micro_dc_ucd,critical,5
87,35,3598,12,micro_dc_ucd,critical,2
88,36,564,8,micro_dc_ucd,moderate,2
89,37,530,2,micro_dc_dcu,tolerant,5
90,37,2116,10,micro_dc_ucd,moderate,5
91,37,1202,10,micro_dc_dcu,moderate,1
92,37,1097,10,micro_dc_ucd,moderate,5
93,38,2753,20,micro_dc_dcu,moderate,5
94,38,2036,14,micro_dc_dcu,critical,4
95,39,1127,8,micro_dc_ucd,critical,4
96,39,1458,20,micro_dc_dcu,moderate,1
97,39,4092,18,micro_dc_ucd,critical,2
98,39,3376,18,micro_dc_ucd,tolerant,3
99,40,1300,8,micro_dc_dcu,moderate,2
