job_id,arrival_time,mi,allocated_cores
0,1,150000,4
1,1,200000,2
2,1,200000,4
3,1,250000,4
4,1,50000,2
5,1,50000,4
6,1,200000,1
7,1,50000,4
8,1,250000,8
9,1,100000,1
10,1,200000,8
11,1,100000,2
12,1,150000,4
13,1,150000,8
14,1,50000,4
15,1,100000,4
16,1,100000,8
17,1,50000,2
18,1,250000,4
19,1,150000,8
20,1,50000,2
21,1,150000,8
22,1,250000,1
23,1,100000,1
24,1,250000,4
25,1,100000,2
26,1,200000,8
27,1,250000,4
28,1,250000,2
29,1,250000,4
30,1,250000,8
31,1,250000,4
32,1,200000,2
33,1,100000,2
34,1,150000,8
35,1,50000,1
36,1,200000,2
37,1,150000,1
38,1,250000,4
39,2,200000,2
40,2,250000,8
41,2,100000,2
42,2,250000,8
43,2,50000,2
44,2,250000,4
45,2,50000,1
46,2,150000,2
47,2,100000,2
48,2,150000,2
49,2,250000,4
50,2,50000,8
51,2,200000,1
52,2,50000,1
53,2,150000,2
54,2,250000,4
55,2,250000,4
56,2,50000,2
57,2,100000,2
58,2,100000,8
59,2,100000,8
60,2,50000,4
61,2,100000,4
62,2,200000,2
63,2,100000,1
64,2,200000,4
65,2,200000,2
66,2,50000,8
67,2,200000,2
68,2,200000,4
69,2,50000,1
70,2,100000,8
71,2,250000,4
72,2,100000,8
73,2,200000,1
74,3,200000,4
75,3,50000,2
76,3,250000,4
77,3,150000,8
78,3,100000,2
79,3,150000,2
80,3,50000,1
81,3,250000,2
82,3,150000,2
83,3,200000,4
84,3,100000,1
85,3,200000,8
86,3,250000,2
87,3,150000,1
88,3,150000,2
89,3,100000,2
90,3,250000,2
91,3,150000,8
92,3,100000,2
93,3,100000,1
94,3,250000,2
95,3,250000,2
96,3,250000,8
97,3,150000,8
98,3,200000,8
99,3,150000,2
100,3,150000,1
101,3,100000,2
102,3,200000,1
103,3,150000,1
104,3,250000,2
105,3,150000,1
106,3,200000,4
107,3,50000,8
108,3,50000,8
109,3,200000,4
110,3,200000,8
111,3,200000,1
112,3,100000,2
113,3,50000,8
114,3,200000,1
115,3,150000,2
116,3,200000,4
117,3,100000,2
118,3,100000,8
119,3,250000,2
120,3,50000,1
121,3,200000,4
122,3,200000,2
123,3,250000,4
124,3,50000,8
125,3,50000,2
126,3,250000,1
127,3,100000,2
128,3,50000,8
129,3,200000,4
130,3,150000,2
131,3,250000,1
132,3,100000,2
133,3,200000,4
134,3,100000,2
135,3,250000,8
136,3,200000,2
137,3,150000,2
138,3,200000,4
139,3,150000,2
140,3,100000,4
141,3,150000,1
142,3,100000,2
143,4,50000,4
144,4,50000,2
145,4,250000,2
146,4,100000,1
147,4,150000,2
148,4,100000,1
149,4,50000,2
150,4,250000,2
151,4,100000,1
152,4,50000,8
153,4,200000,1
154,4,200000,1
155,4,250000,2
156,4,150000,4
157,4,50000,2
158,4,150000,1
159,4,100000,2
160,4,100000,4
161,4,50000,4
162,4,150000,1
163,4,250000,1
164,4,200000,4
165,4,250000,1
166,4,50000,1
167,4,150000,4
168,4,250000,8
169,4,150000,8
170,4,250000,4
171,4,150000,4
172,4,250000,2
173,4,200000,1
174,4,200000,1
175,4,100000,4
176,4,250000,1
177,4,100000,1
178,4,50000,2
179,4,50000,4
180,4,100000,8
181,4,100000,2
182,4,200000,1
183,4,100000,1
184,4,50000,2
185,4,100000,1
186,4,200000,4
187,4,150000,1
188,4,250000,2
189,4,150000,1
190,4,50000,1
191,4,200000,2
192,4,100000,1
193,4,100000,1
194,4,50000,8
195,4,250000,1
196,4,50000,8
197,4,100000,1
198,4,150000,1
199,4,250000,4
200,4,50000,2
201,4,250000,8
202,4,100000,8
203,4,150000,2
204,4,150000,1
205,4,150000,4
206,4,50000,8
207,4,200000,4
208,4,200000,8
209,4,100000,1
210,5,200000,2
211,5,50000,2
212,5,150000,1
213,5,250000,8
214,5,150000,4
215,5,50000,2
216,5,100000,8
217,5,100000,8
218,5,50000,8
219,5,200000,2
220,5,150000,8
221,5,200000,2
222,5,100000,4
223,5,150000,2
224,5,50000,4
225,5,250000,1
226,5,250000,4
227,5,50000,1
228,5,200000,1
