job_id,arrival_time,mi,required_cores
0,0,100000,2
1,0,250000,8
2,0,250000,2
3,0,250000,4
4,0,150000,4
5,0,50000,2
6,0,100000,8
7,0,250000,1
8,0,250000,1
9,0,50000,2
10,0,100000,1
11,0,250000,2
12,0,50000,8
13,0,50000,4
14,0,100000,4
15,0,150000,2
16,0,50000,2
17,0,150000,2
18,0,50000,8
19,0,150000,4
20,0,50000,1
21,0,50000,8
22,0,200000,4
23,0,150000,1
24,0,50000,8
25,0,200000,8
26,0,50000,4
27,0,150000,2
28,0,200000,4
29,0,100000,8
30,0,200000,1
31,0,200000,2
32,0,100000,4
33,0,150000,4
34,0,100000,1
35,0,250000,2
36,1,200000,1
37,1,50000,8
38,1,100000,2
39,1,200000,1
40,1,200000,2
41,1,50000,1
42,1,150000,2
43,1,250000,8
44,1,200000,8
45,2,50000,4
46,2,50000,8
47,2,200000,4
48,2,250000,4
49,2,100000,1
50,2,200000,1
51,2,50000,2
52,2,100000,4
53,2,200000,4
54,3,200000,4
55,3,200000,8
56,3,150000,2
57,3,100000,2
58,3,200000,2
59,3,200000,8
60,3,50000,2
61,3,100000,2
62,3,250000,4
63,4,100000,8
64,4,50000,2
65,4,150000,8
66,4,50000,4
67,4,50000,4
68,4,250000,1
69,4,200000,8
70,4,250000,1
71,4,200000,4
72,10,200000,4
73,10,200000,1
74,10,150000,8
75,10,150000,8
76,10,100000,4
77,10,250000,4
78,10,100000,4
79,10,250000,1
80,10,50000,1
81,10,250000,4
82,10,100000,1
83,10,200000,4
84,10,50000,4
85,10,150000,1
86,10,100000,4
87,10,200000,1
88,10,250000,4
89,10,200000,1
90,10,50000,1
91,10,150000,1
92,10,50000,2
93,10,150000,4
94,10,100000,1
95,10,150000,2
96,10,150000,4
97,10,250000,1
98,10,250000,1
99,10,150000,8
100,10,250000,2
101,10,150000,8
102,10,200000,4
103,10,100000,2
104,10,200000,4
105,10,50000,2
106,10,250000,8
107,10,100000,2
108,11,150000,2
109,11,150000,2
110,11,100000,1
111,11,200000,4
112,11,150000,8
113,11,200000,8
114,11,50000,1
115,11,150000,4
116,11,50000,4
117,12,150000,4
118,12,100000,8
119,12,250000,1
120,12,100000,2
121,12,50000,8
122,12,250000,8
123,12,200000,1
124,12,50000,4
125,12,250000,1
126,13,50000,4
127,13,50000,1
128,13,50000,2
129,13,250000,8
130,13,250000,8
131,13,50000,4
132,13,100000,1
133,13,250000,4
134,13,250000,2
135,14,50000,2
136,14,200000,2
137,14,50000,4
138,14,200000,4
139,14,50000,2
140,14,250000,1
141,14,100000,1
142,14,100000,2
143,14,250000,4
144,15,150000,4
145,15,200000,2
146,15,200000,1
147,15,50000,2
148,15,150000,2
149,15,200000,8
150,15,200000,8
151,15,250000,4
152,15,250000,4
153,20,150000,1
154,20,50000,4
155,20,150000,8
156,20,50000,4
157,20,250000,8
158,20,150000,4
159,20,250000,4
160,20,50000,8
161,20,50000,4
162,20,100000,4
163,20,50000,2
164,20,150000,1
165,20,250000,8
166,20,50000,1
167,20,250000,8
168,20,150000,2
169,20,200000,2
170,20,100000,8
171,20,250000,8
172,20,50000,2
173,20,250000,4
174,20,250000,1
175,20,200000,1
176,20,100000,1
177,20,50000,8
178,20,200000,1
179,20,100000,4
180,20,150000,8
181,20,100000,8
182,20,200000,4
183,20,200000,2
184,20,100000,1
185,20,150000,8
186,20,200000,1
187,20,100000,2
188,20,100000,1
189,21,50000,8
190,21,50000,2
191,21,200000,4
192,21,100000,4
193,21,250000,1
194,21,150000,8
195,21,200000,2
196,21,200000,4
197,21,150000,8
198,22,100000,4
199,22,100000,4
200,22,200000,2
201,22,250000,2
202,22,250000,2
203,22,100000,4
204,22,50000,2
205,22,150000,8
206,22,250000,8
207,23,100000,2
208,23,250000,2
209,23,250000,8
210,23,100000,8
211,23,200000,1
212,23,100000,8
213,23,250000,1
214,23,250000,1
215,23,100000,4
216,24,50000,2
217,24,150000,4
218,24,50000,1
219,24,50000,8
220,24,150000,4
221,24,100000,8
222,24,250000,4
223,24,200000,4
224,24,250000,8
225,25,150000,2
226,25,150000,4
227,25,150000,2
228,25,150000,1
229,25,250000,4
230,25,150000,1
231,25,50000,4
232,25,100000,8
233,25,100000,8
234,26,250000,2
235,26,150000,8
236,26,150000,1
237,26,100000,2
238,26,150000,2
239,26,150000,1
240,26,100000,2
241,26,150000,2
242,26,50000,4
243,27,50000,8
244,27,200000,4
245,27,50000,8
246,27,100000,8
247,27,50000,2
248,27,50000,2
249,27,250000,8
250,27,100000,2
251,27,100000,1
252,28,200000,1
253,28,250000,2
254,28,100000,2
255,28,200000,2
256,28,150000,4
257,28,150000,2
258,28,150000,1
259,28,200000,8
260,28,200000,4
261,29,100000,8
262,29,250000,4
263,29,150000,2
264,29,200000,4
265,29,150000,2
266,29,100000,4
267,29,50000,1
268,29,250000,2
269,29,200000,1
270,30,100000,8
271,30,250000,4
272,30,100000,4
273,30,150000,8
274,30,50000,8
275,30,100000,8
276,30,50000,4
277,30,150000,8
278,30,200000,1
279,30,150000,8
280,30,250000,1
281,30,200000,8
282,30,50000,4
283,30,200000,4
284,30,250000,4
285,30,150000,1
286,30,100000,8
287,30,50000,2
288,30,50000,1
289,30,250000,4
290,30,50000,4
291,30,200000,1
292,30,200000,8
293,30,200000,8
294,30,50000,8
295,30,100000,4
296,30,200000,4
297,30,250000,2
298,30,250000,8
299,30,50000,1
300,30,100000,4
301,30,200000,1
302,30,50000,4
303,30,150000,4
304,30,150000,2
305,30,50000,1
