job_id,arrival_time,mi,allocated_cores
0,0,200000,1
1,0,50000,8
2,0,150000,8
3,0,100000,2
4,1,150000,2
5,2,100000,2
6,3,200000,4
7,4,100000,4
8,10,150000,4
9,10,150000,1
10,10,150000,2
11,10,100000,4
12,11,200000,2
13,12,50000,8
14,13,100000,4
15,14,150000,1
16,15,200000,2
17,20,100000,2
18,20,50000,8
19,20,100000,2
20,20,150000,4
21,21,100000,1
22,22,100000,2
23,23,250000,1
24,24,100000,1
25,25,100000,8
26,26,50000,1
27,27,150000,8
28,28,100000,1
29,29,200000,1
30,30,200000,2
31,30,200000,8
32,30,150000,1
33,30,150000,8
