,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,"[0, 1, 2]","[1, 2, 6]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
2,"[0, 0, 0]","[1, 2, 6]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
3,"[0, 0, 0]","[1, 1, 2]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
4,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
5,"[0, 0, 0]","[1, 1, 2]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
6,"[0, 0, 0]","[1, 2, 4]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
7,"[0, 0, 0]","[1, 3, 6]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
8,"[0, 1, 2]","[1, 3, 6]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
9,"[0, 2, 4]","[1, 3, 6]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
10,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
11,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 0, 0]"
12,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 1, 2]"
13,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 2, 4]"
14,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 3, 6]"
15,"[0, 3, 6]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 3, 6]"
16,"[0, 3, 6]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 4, 8]"
17,"[0, 3, 6]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 1, 2]","[9, 4, 8]"
18,"[0, 3, 6]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 2, 4]","[9, 4, 8]"
19,"[0, 3, 6]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 4, 8]"
20,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 4, 8]"
