#{"t_start": 1712887630.845267, "env_id": "SmallDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-1269.133561,2643,4.895816,0.02850256082314209,0.0023639046538025364,150
-1400.209954,2814,9.042318,0.03417312946545748,0.0021818763326226305,166
-853.210757,1753,11.811727,0.03445306740597707,0.0036092413006273273,176
-1151.012313,2455,15.417135,0.02691743129722709,0.0027296945010184294,184
-1234.367223,2541,19.0989,0.030389990900429677,0.0023334120425029703,148
-748.184479,1580,21.557447,0.031443888379892516,0.004135443037974484,178
-1175.481281,2473,25.077997,0.028367563355958678,0.002673433077234204,174
-962.827688,2166,28.257866,0.0198949706240127,0.004097783933518017,192
-1122.159052,2353,32.081142,0.02734310055188859,0.0029704207394816444,142
-771.853856,1842,34.842808,0.013753396788114353,0.00602736156351738,216
-1040.28473,2248,38.114236,0.02378684118624909,0.003368594306050031,156
-934.42179,2094,41.129397,0.020671316571757085,0.004088252148997206,190
-1079.606137,2300,44.439905,0.02512801789230268,0.0038293043478261216,156
-742.433289,1740,47.367822,0.01518608438265949,0.006061034482758133,192
-710.034606,1504,49.175438,0.0289820358282507,0.004455718085106159,148
-1194.247971,2500,53.163303,0.0276662365661355,0.0024595200000000314,142
-697.756146,1659,55.221241,0.013512503733573015,0.006262567811934398,188
-1051.158616,2234,58.389724,0.02522506028458984,0.00313106535362594,134
-701.505191,1637,60.932415,0.014894292735066542,0.006126817348808382,170
-1079.382011,2319,64.181887,0.023953429672663427,0.0028230271668823765,138
-766.582274,1801,66.808367,0.01460759692368663,0.00534503053858943,184
-1053.549143,2246,70.017266,0.024868095687395883,0.003121549421193379,136
-885.294204,1983,72.969813,0.02023573429898859,0.0038632375189109583,168
-1169.325029,2445,76.735583,0.028446015829280174,0.0025877300613497576,154
-867.660797,1928,79.53953,0.019256451822520584,0.00546255186721944,156
-1033.708357,2223,82.719843,0.02388857721587735,0.0036024291497977717,148
-909.642975,2001,85.694106,0.020465813409434347,0.004548125937031434,144
-929.834118,2063,88.675944,0.020389547034266223,0.0037841008240428733,154
-989.615204,2148,91.68021,0.021940391590268265,0.005100837988826352,158
-1281.087574,2617,95.395642,0.030920929378865192,0.002447917462743649,142
-960.626809,2107,98.375134,0.021958634377896864,0.0033607973421928743,150
-771.272266,1767,101.062764,0.017226530707571068,0.004449575551782903,158
-1077.446536,2276,104.400697,0.026259033741319444,0.0030353251318103345,138
-648.280141,1561,106.788034,0.011681385193610186,0.00736028187059529,188
-1028.850326,2256,110.118539,0.022839405087810186,0.0036566489361703714,182
-987.942084,2146,113.321559,0.022628902679696444,0.004315470643056777,158
-1039.571603,2234,116.439852,0.02427738621024528,0.003489615040286705,152
-457.618534,1112,118.02533,0.014775143973211313,0.008970863309352733,188
-909.698536,2023,120.963255,0.020330974233310758,0.004181908057340683,162
-310.129851,775,122.3473,0.01379374877734224,0.01257909677419332,170
-894.791749,1999,125.264828,0.020830077446748845,0.004501350675337627,184
-885.321029,1965,128.129802,0.020384279214997605,0.004428091603053472,158
-1013.966722,2183,131.322723,0.023916269694762085,0.003344388456253066,144
-914.014901,2030,134.283882,0.021707423777804817,0.003536157635468197,172
-637.019589,1514,136.641533,0.013187236984360341,0.006988375165125002,176
-564.986798,1369,138.412396,0.010547727930748377,0.008163769174579508,170
-681.303665,1607,140.837419,0.013835780699746978,0.006793403858120223,180
-875.759784,1955,143.695427,0.020182370888815304,0.004026291560102517,160
-649.855228,1558,146.081248,0.013703574111066237,0.006063157894736584,190
-1092.334541,2347,149.439762,0.02594041849703117,0.0026835108649340264,176
-1315.823503,2704,153.26381,0.03165127617016193,0.0023232248520710505,180
-657.223145,1566,155.726404,0.01416611977356246,0.005225287356321976,176
-975.78117,2161,158.832916,0.022371194296679008,0.004197223507635321,200
-934.156089,2066,161.769128,0.021840477565302194,0.004493901258470369,184
-1061.547637,2299,165.08767,0.024339230583133007,0.00347472814267094,178
-936.279777,2047,168.06919,0.022275003907891576,0.003970200293112066,154
-1036.63733,2222,171.437787,0.02476435599146566,0.004160576057605702,166
-771.427534,1787,174.088596,0.017660470212072094,0.004739227756015739,192
-983.24748,2139,177.193249,0.02338562133125241,0.0037178120617112924,164
-919.013078,2030,180.062701,0.020856514035400647,0.004179901477832591,156
-954.938141,2088,183.135016,0.02311180184881892,0.0031724137931035865,158
-865.713547,1940,186.001446,0.019959826791793936,0.003934020618556925,162
-961.880762,2112,189.192382,0.022454937823060368,0.0036076704545456666,166
-918.699751,2046,192.239277,0.02091169364540131,0.004000293255132138,174
-883.880311,1968,195.215933,0.020903096192562653,0.003590853658536801,160
-756.7652,1743,197.85384,0.01732757312285987,0.005041652323580028,176
-790.118445,1816,200.637158,0.018003707903856036,0.004020264317180813,174
-1011.604236,2158,203.78438,0.024497159830361312,0.003584986098239326,134
-865.298261,1919,206.744721,0.020015778177426776,0.004262219906201314,144
-833.529501,1858,209.473483,0.019095613708607826,0.004789666307857879,144
-620.761088,1482,211.425013,0.012399815447378363,0.005891902834008022,156
-424.170094,1093,213.26777,0.005859495144395446,0.009447941445562293,172
-785.101453,1780,216.120736,0.017679345951817922,0.004888314606741579,152
-559.054386,1349,218.339705,0.010783184467241585,0.0063527057079317585,144
-570.15179,1384,220.263111,0.010510792608773398,0.008163728323698952,174
-552.203223,1345,222.413061,0.010245774723956977,0.006662007434944051,154
-729.443626,1673,224.928088,0.01602312473379427,0.005108427973699957,144
-384.478626,952,226.147461,0.010362172114051478,0.009956722689075749,152
-751.048547,1724,228.73972,0.016204619480123264,0.0057643851508116985,162
-661.766959,1556,231.240852,0.014078205521198102,0.006313881748071578,166
-695.496356,1607,233.720255,0.01472302855258733,0.007062227753577575,160
-532.351771,1280,235.375769,0.009740102508368136,0.007592343749999596,134
-601.967698,1428,237.684358,0.01203775175499342,0.0065268907563022305,144
-857.821755,1892,240.462994,0.019452075298462834,0.0046845665961944925,128
-525.812848,1274,242.112355,0.008828771145568967,0.01005965463108274,160
-214.239811,573,243.421964,0.0018574925936139018,0.022561256544502698,154
-668.905068,1557,245.364763,0.013609839754281728,0.00652601156069316,146
-720.10355,1644,247.878386,0.015365611312661284,0.006843065693430141,148
-521.447721,1265,249.937462,0.009386969420718039,0.010972173913043025,176
-698.182918,1594,252.489438,0.014185618258881007,0.008508782936009538,150
-568.856821,1354,254.265347,0.010462072520004966,0.008871048744460396,150
-546.113994,1310,256.399581,0.009686105468490514,0.010584274809159777,166
-778.621778,1744,259.078388,0.017117507766873118,0.006039908256880219,134
-783.406716,1763,261.729217,0.017227915402756696,0.006017697107203109,146
-407.559574,1038,263.076343,0.005447275767132141,0.010147976878612382,154
-642.884322,1529,265.589968,0.01268286236101235,0.0063264879005882615,164
-691.169147,1603,268.119204,0.01490738872851181,0.006421834061134864,160
-718.430641,1640,270.178572,0.015826214857424737,0.005398902439024344,134
-647.238605,1527,272.590397,0.013226445074296095,0.005877406679764121,152
-395.742481,963,274.282001,0.010887377113051948,0.009343925233644818,136
-695.783784,1604,276.385631,0.015388613059567985,0.006117082294263979,152
-703.974699,1618,278.907144,0.014851056638625104,0.007245611866501331,156
-742.55156,1691,281.543305,0.01582203896574099,0.006842341809579614,154
-709.708498,1630,284.083574,0.015256656046245402,0.005818527607361714,142
-634.833041,1481,286.441333,0.012566584995924744,0.008831060094530224,158
-669.501115,1551,288.4177,0.013847024129393717,0.008184139264989813,162
-463.316182,1147,290.37492,0.0073575017604165125,0.011190758500435516,166
-406.39175,1031,291.727952,0.005316125186196738,0.012722211445198492,170
-587.936469,1414,293.97782,0.011158232452449415,0.007668458274398412,166
-532.794133,1289,296.105846,0.009261629089552685,0.009076803723816447,154
-497.088602,1223,297.787635,0.00839327939256963,0.008259689288634077,150
-313.166459,827,299.317581,0.0035094774179146057,0.01476130592503001,170
-723.864619,1666,301.790427,0.015558694934303202,0.006889915966386044,168
-441.512751,1128,303.308834,0.006882114587789726,0.009903191489361264,182
-674.558628,1576,305.740275,0.014418393665684072,0.007388451776649232,176
-670.059089,1567,308.19553,0.014219098145703631,0.007234460753030744,172
-543.211649,1323,309.890327,0.009992210668866375,0.008423129251700214,168
-392.770897,1007,311.737461,0.005194706247155364,0.011599006951340252,166
-467.106073,1153,313.302049,0.006742083154444607,0.011863139635732493,164
-456.05834,1150,315.272628,0.007197480104811718,0.01013947826086914,176
-384.181584,991,316.563103,0.004713900207804225,0.010961654894046045,160
-380.699499,975,318.295205,0.0043327689812594095,0.014959384615384244,180
-640.037254,1495,320.604271,0.012464599422479723,0.009134849498327293,164
-475.533461,1160,322.157707,0.00749003290571112,0.012665172413792685,166
-245.565865,650,323.048039,0.002179322267062821,0.02291261538461539,172
-523.566503,1282,325.16977,0.00900901008211402,0.009235881435256986,168
-638.522525,1500,327.552035,0.012979705048255501,0.007684799999999516,162
-460.949673,1150,329.055201,0.007208784315522233,0.012656347826086543,188
-499.588908,1227,331.189154,0.008313180380590809,0.011439608801955568,180
-493.223204,1208,333.143096,0.007997484543551599,0.01038576158940357,160
-638.642127,1505,335.081288,0.012437367507589666,0.008262059800663992,168
-651.767126,1530,337.41698,0.013270024620355689,0.008017647058823001,172
-534.587105,1284,339.545472,0.009365211486983764,0.00937009345794349,148
-383.700047,979,340.836276,0.004482547652355526,0.014914811031664641,178
-501.278108,1227,342.883542,0.008196603439477992,0.010795599022004458,168
-465.575292,1146,344.36021,0.006519709833671002,0.012321989528795428,162
-582.466361,1375,346.620215,0.010818842357307897,0.010577454545454047,164
-363.777665,921,347.892503,0.003530835634222864,0.01685276872964139,168
-327.854827,843,349.564848,0.00305011623785784,0.018392882562277276,174
-239.679729,624,350.590512,0.0011892930284958746,0.028272115384615118,178
-469.349203,1159,352.564825,0.007336463308551895,0.012581363244175596,178
-329.186698,825,353.740396,0.006267890029428511,0.01729090909090941,164
-655.644664,1519,356.156111,0.0132040810546552,0.008292560895325372,152
-591.661118,1414,358.496711,0.011086658672545317,0.009548656294200366,178
-463.662975,1154,360.007604,0.006970444122037296,0.012283362218370463,180
-502.333229,1240,362.077438,0.008260458695162672,0.011271774193547919,186
-673.121171,1567,364.065714,0.013515348634895692,0.0076054881940007795,160
-742.470562,1697,366.668035,0.016075290917733822,0.007343193871537468,172
