,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 2, 0, 0]","[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[2, 8, 2, 0]","[3, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[3, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[3, 2, 1, 0]","[4, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[3, 2, 1, 0]","[4, 2, 2, 0]","[5, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[3, 2, 1, 0]","[4, 2, 2, 0]","[5, 2, 1, 0]","[6, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[3, 2, 1, 0]","[4, 2, 2, 0]","[5, 2, 1, 0]","[6, 2, 1, 0]","[7, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[3, 2, 1, 0]","[4, 2, 2, 0]","[5, 2, 1, 0]","[6, 2, 1, 0]","[7, 2, 0, 0]","[8, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[4, 2, 2, 2]","[5, 2, 1, 0]","[6, 2, 1, 0]","[7, 2, 0, 0]","[8, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[5, 2, 1, 2]","[6, 2, 1, 0]","[7, 2, 0, 0]","[8, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[8, 2, 0, 0]","[9, 2, 9, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[8, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[8, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]","[11, 2, 9, 0]",,,,,,,,,,,,,,,,,,,,,,,,,
15,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 2]","[8, 2, 0, 2]","[9, 2, 9, 2]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,
