,state,action,reward,job_wait_reward,util_reward,invalid_reward,next_state
0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0]",-0.064,-0.0,-0.064,-0.0,"[0.16, 0.0, 0.0, 0.0, 0.0]"
1,"[0.16, 0.0, 0.0, 0.0, 0.0]","[0.8776459693908691, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.18, 0.0, 0.0, 0.0, 0.0]"
2,"[0.18, 0.0, 0.0, 0.0, 0.0]","[0.19726327061653137, 0.0]",-0.08000000000000002,-0.0,-0.08000000000000002,-0.0,"[0.2, 0.0, 0.0, 0.0, 0.0]"
3,"[0.2, 0.0, 0.0, 0.0, 0.0]","[-0.4591448903083801, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.12, 0.0, 0.0, 0.0, 0.0]"
4,"[0.12, 0.0, 0.0, 0.0, 0.0]","[0.9111378192901611, 0.0]",-0.05600000000000001,-0.0,-0.05600000000000001,-0.0,"[0.14, 0.0, 0.0, 0.0, 0.0]"
5,"[0.14, 0.0, 0.0, 0.0, 0.0]","[0.9347535371780396, 0.0]",-0.064,-0.0,-0.064,-0.0,"[0.16, 0.0, 0.0, 0.0, 0.0]"
6,"[0.16, 0.0, 0.0, 0.0, 0.0]","[0.8094469308853149, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.18, 0.0, 0.0, 0.0, 0.0]"
7,"[0.18, 0.0, 0.0, 0.0, 0.0]","[0.2124267816543579, 0.0]",-0.08000000000000002,-0.0,-0.08000000000000002,-0.0,"[0.2, 0.0, 0.0, 0.0, 0.0]"
8,"[0.2, 0.0, 0.0, 0.0, 0.0]","[-0.44302791357040405, 0.0]",-0.47200000000000003,-0.4,-0.072,-0.0,"[0.18, 0.0, 0.0, 1.0, 1.0]"
9,"[0.18, 0.0, 0.0, 1.0, 1.0]","[0.6822637915611267, 0.0]",-0.08000000000000002,-0.0,-0.08000000000000002,-0.0,"[0.2, 0.16666666666666669, 0.0, 0.0, 0.0]"
10,"[0.2, 0.16666666666666669, 0.0, 0.0, 0.0]","[1.0, 0.0]",-0.08800000000000001,-0.0,-0.08800000000000001,-0.0,"[0.22, 0.15, 0.0, 0.0, 0.0]"
11,"[0.22, 0.15, 0.0, 0.0, 0.0]","[0.5230278968811035, 0.0]",-0.096,-0.0,-0.096,-0.0,"[0.24, 0.13636363636363638, 0.0, 0.0, 0.0]"
