,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 2, 0, 0]","[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 9, 0]",,,,,,,,,,,,,,,,,,
2,"[0, 2, 0, 0]","[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]",,,,,,,,,,,,,,,,,
3,"[0, 2, 0, 0]","[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]",,,,,,,,,,,,,,,,
4,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]",,,,,,,,,,,,,,,,,
5,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]",,,,,,,,,,,,,,,,
6,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]",,,,,,,,,,,,,,,
7,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]",,,,,,,,,,,,,,
8,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[4, 2, 8, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]",,,,,,,,,,,,,
9,"[0, 2, 0, 0]","[1, 4, 1, 0]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]",,,,,,,,,,,,,,
10,"[0, 2, 0, 2]","[1, 4, 1, 2]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]",,,,,,,,,,,,,
11,"[0, 2, 0, 2]","[1, 4, 1, 2]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]",,,,,,,,,,,,
12,"[0, 2, 0, 2]","[1, 4, 1, 2]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]",,,,,,,,,,,
