,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 2, 0, 0]","[1, 4, 1, 0]","[2, 8, 2, 0]","[3, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 2, 0, 0]","[2, 8, 2, 0]","[3, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 2, 0, 0]","[2, 8, 2, 0]","[3, 2, 6, 0]","[4, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,
4,"[2, 8, 2, 0]","[3, 2, 6, 0]","[4, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,
5,"[2, 8, 2, 0]","[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,
6,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,
7,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,,,
8,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,,,,
9,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[8, 2, 1, 0]",,,,,,,,,,,,,,,,,,,,,,
10,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,,,,
11,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,,
12,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,
13,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]",,,,,,,,,,,,,,,,,,,,
14,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[12, 2, 8, 0]",,,,,,,,,,,,,,,,,,,
15,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 2]","[6, 2, 4, 2]","[7, 2, 2, 2]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]",,,,,,,,,,,,,,,,,,,,
16,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 2]","[6, 2, 4, 2]","[7, 2, 2, 2]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]",,,,,,,,,,,,,,,,,,,
17,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 2]","[6, 2, 4, 2]","[7, 2, 2, 2]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]",,,,,,,,,,,,,,,,,,
18,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 2]","[6, 2, 4, 2]","[7, 2, 2, 2]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]",,,,,,,,,,,,,,,,,
19,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,
20,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[17, 2, 6, 0]",,,,,,,,,,,,,,,
21,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 2]","[9, 2, 6, 2]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,
22,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]",,,,,,,,,,,,,,,
23,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]",,,,,,,,,,,,,,
24,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]","[20, 2, 2, 0]",,,,,,,,,,,,,
25,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]","[20, 2, 2, 0]","[21, 2, 0, 0]",,,,,,,,,,,,
26,"[3, 2, 6, 2]","[4, 2, 0, 2]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 2]","[10, 2, 6, 2]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]","[20, 2, 2, 0]",,,,,,,,,,,,,
