#{"t_start": 1713060312.560961, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-684.749895,2761,5.175539,0.06475125046990153,0.005112006519376832,200
-746.207992,2819,9.243271,0.07155191430400445,0.004992461865909713,152
-647.156564,2687,13.534948,0.06101587407259413,0.005480387048753004,186
-728.531895,2725,17.447564,0.07285952386294993,0.0050576697247704675,158
-615.83022,2433,20.929816,0.06534103945282022,0.006187361282367096,142
-585.385525,2346,24.32637,0.06354811864492377,0.006270076726342361,132
-648.128268,2564,27.958375,0.0663415252360354,0.005498459438377309,176
-734.814028,2780,32.266558,0.0717211017261901,0.004943039568345151,168
-425.219398,1999,35.240221,0.04689823873643002,0.007785967983991531,176
-466.274182,2127,38.396402,0.04811089882664843,0.009387165021156092,182
-527.738175,2296,41.79244,0.05369487321057444,0.008422800522647605,188
-718.147895,2714,45.567764,0.07178625747564348,0.004973710390567264,162
-370.541831,1466,47.904504,0.06359206961561913,0.009937141882674295,156
-650.65434,2553,51.507825,0.0666171575324549,0.005642714453583771,146
-626.82917,2564,55.005823,0.06156174972181549,0.006153978159126013,154
-676.447999,2626,59.044776,0.06830626415615451,0.005285357958872614,156
-760.017898,2766,62.872086,0.0757169573278618,0.005240401301518217,142
-689.460946,2631,66.448771,0.07035546395339459,0.005270695553021469,158
-571.42961,2421,70.264306,0.05814081978372518,0.0062698884758360905,172
-770.897654,2786,74.130271,0.07641756794239361,0.005134458004307042,126
-331.617222,1374,76.268588,0.057462845525218215,0.011189082969432752,154
-804.364376,2867,80.145021,0.07874629199122064,0.00495408092082297,156
-671.969175,2580,83.705227,0.06946032125202636,0.005290116279069589,146
-637.336722,2551,87.593592,0.06450853579411782,0.005564582516659916,150
-687.147679,2582,91.140976,0.07166409983191879,0.005325232378001349,128
-612.582724,2461,94.513817,0.06378804381002615,0.0061498780983336694,160
-440.42709,2020,97.434918,0.04778823780631785,0.009381163366336175,182
-675.133485,2664,101.106372,0.06601731165930458,0.005593074324324048,152
-648.841172,2566,105.154652,0.06578403257526569,0.005388425565081644,136
-509.65764,2249,108.542433,0.05211088842238282,0.008267474433080891,170
-520.849989,2336,111.867094,0.05117671012023754,0.007895419520547488,194
-624.681755,2457,115.316681,0.06602889284480788,0.005762637362637114,130
-713.4426,2693,119.04594,0.07148025245400136,0.005409524693649962,160
-170.785217,767,120.476104,0.03233030986267381,0.03178748370273871,152
-352.651864,1699,122.60157,0.04290861617284806,0.010421777516185912,186
-606.843857,2512,126.485039,0.060043803988311696,0.0065683519108276,162
-604.454036,2507,129.968573,0.060734210614582416,0.005707479058635568,164
-328.618027,1386,132.125809,0.05182306063734645,0.015390584415584014,170
-519.125481,2271,135.34339,0.053837413737350535,0.007158388375164692,158
-689.735832,2615,139.142345,0.07060041084232574,0.005329273422561946,130
-492.31125,2174,142.281265,0.0511998678174783,0.0092233440662369,170
-419.574966,1524,144.555913,0.07251199789952711,0.009271948818897889,98
