,state,action,reward,job_wait_reward,util_reward,invalid_reward,next_state
0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9744300842285156, 0.988452672958374]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.0, 0.0, 0.0, 0.0]"
1,"[0.22, 0.0, 0.0, 0.0, 0.0]","[0.7423803806304932, 0.007040679454803467]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.0, 0.0, 0.0, 0.0]"
2,"[0.24, 0.0, 0.0, 0.0, 0.0]","[0.6097954511642456, 0.0]",-0.078,-0.0,-0.078,-0.0,"[0.26, 0.0, 0.0, 0.0, 0.0]"
3,"[0.26, 0.0, 0.0, 0.0, 0.0]","[0.2597849369049072, 0.0013654232025146484]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.0, 0.0, 0.0, 0.0]"
4,"[0.28, 0.0, 0.0, 0.0, 0.0]","[0.49175918102264404, 0.06101927161216736]",-0.09,-0.0,-0.09,-0.0,"[0.3, 0.0, 0.0, 0.0, 0.0]"
5,"[0.3, 0.0, 0.0, 0.0, 0.0]","[0.4672408103942871, 0.0]",-0.096,-0.0,-0.096,-0.0,"[0.32, 0.0, 0.0, 0.0, 0.0]"
6,"[0.32, 0.0, 0.0, 0.0, 0.0]","[0.5689808130264282, 0.06127914786338806]",-0.10200000000000001,-0.0,-0.10200000000000001,-0.0,"[0.34, 0.0, 0.0, 0.0, 0.0]"
7,"[0.34, 0.0, 0.0, 0.0, 0.0]","[0.5637500286102295, 0.020747452974319458]",-0.108,-0.0,-0.108,-0.0,"[0.36, 0.0, 0.0, 0.0, 0.0]"
8,"[0.36, 0.0, 0.0, 0.0, 0.0]","[0.39739346504211426, 0.023426920175552368]",-0.414,-0.3,-0.11399999999999999,-0.0,"[0.38, 0.0, 0.0, 1.0, 1.0]"
9,"[0.38, 0.0, 0.0, 1.0, 1.0]","[1.0, 0.8869125843048096]",-0.514,-0.0,-0.11399999999999999,-0.4,"[0.38, 0.125, 0.0, 0.0, 0.0]"
10,"[0.38, 0.125, 0.0, 0.0, 0.0]","[-0.8896578550338745, 0.40132996439933777]",-0.108,-0.0,-0.108,-0.0,"[0.36, 0.13636363636363638, 0.0, 0.0, 0.0]"
11,"[0.36, 0.13636363636363638, 0.0, 0.0, 0.0]","[-1.0, 0.287840873003006]",-0.10200000000000001,-0.0,-0.10200000000000001,-0.0,"[0.34, 0.15, 0.0, 0.0, 0.0]"
12,"[0.34, 0.15, 0.0, 0.0, 0.0]","[-0.96758633852005, 0.1940833330154419]",-0.096,-0.0,-0.096,-0.0,"[0.32, 0.16666666666666669, 0.0, 0.0, 0.0]"
13,"[0.32, 0.16666666666666669, 0.0, 0.0, 0.0]","[-0.9230692386627197, 0.0]",-0.27,-0.18,-0.09,-0.0,"[0.3, 0.1875, 0.0, 0.6, 1.0]"
14,"[0.3, 0.1875, 0.0, 0.6, 1.0]","[0.954796314239502, 0.6438100337982178]",-0.49,-0.0,-0.09,-0.4,"[0.3, 0.3125, 0.0, 0.0, 0.0]"
15,"[0.3, 0.3125, 0.0, 0.0, 0.0]","[-0.9461058378219604, 0.15869060158729553]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.3571428571428571, 0.0, 0.0, 0.0]"
16,"[0.28, 0.3571428571428571, 0.0, 0.0, 0.0]","[-0.9782170653343201, 0.021336138248443604]",-0.078,-0.0,-0.078,-0.0,"[0.26, 0.41666666666666663, 0.0, 0.0, 0.0]"
17,"[0.26, 0.41666666666666663, 0.0, 0.0, 0.0]","[0.35387110710144043, 0.0]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.3571428571428571, 0.0, 0.0, 0.0]"
18,"[0.28, 0.3571428571428571, 0.0, 0.0, 0.0]","[-1.0, 0.0]",-0.078,-0.0,-0.078,-0.0,"[0.26, 0.25, 0.0, 0.0, 0.0]"
19,"[0.26, 0.25, 0.0, 0.0, 0.0]","[0.5306340456008911, 0.0730522871017456]",-0.1697142857142857,-0.0857142857142857,-0.084,-0.0,"[0.28, 0.21428571428571427, 0.0, 0.2857142857142857, 1.0]"
20,"[0.28, 0.21428571428571427, 0.0, 0.2857142857142857, 1.0]","[0.9956903457641602, 0.16068986058235168]",-0.09,-0.0,-0.09,-0.0,"[0.3, 0.25, 0.0, 0.0, 0.0]"
21,"[0.3, 0.25, 0.0, 0.0, 0.0]","[-1.0, 0.19064205884933472]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.21428571428571427, 0.0, 0.0, 0.0]"
22,"[0.28, 0.21428571428571427, 0.0, 0.0, 0.0]","[-0.9491364359855652, 0.03870302438735962]",-0.078,-0.0,-0.078,-0.0,"[0.26, 0.25, 0.0, 0.0, 0.0]"
23,"[0.26, 0.25, 0.0, 0.0, 0.0]","[0.39911115169525146, 0.03441706299781799]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.21428571428571427, 0.0, 0.0, 0.0]"
24,"[0.28, 0.21428571428571427, 0.0, 0.0, 0.0]","[-1.0, 0.0]",-0.14466666666666667,-0.06666666666666667,-0.078,-0.0,"[0.26, 0.25, 0.0, 0.2222222222222222, 1.0]"
25,"[0.26, 0.25, 0.0, 0.2222222222222222, 1.0]","[0.879203200340271, 0.0628209114074707]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.2857142857142857, 0.0, 0.0, 0.0]"
