job_id,arrival_time,mi,required_cores,location,delay_sensitivity,deadline
0,1,149,1,micro_dc_dcu,tolerant,2
1,2,556,4,micro_dc_dcu,tolerant,2
2,2,2096,8,micro_dc_ucd,tolerant,1
3,2,5516,20,micro_dc_ucd,moderate,5
4,3,3946,20,micro_dc_ucd,tolerant,0
5,4,364,2,micro_dc_dcu,critical,1
6,4,2691,18,micro_dc_ucd,tolerant,5
7,4,2535,12,micro_dc_dcu,critical,1
8,5,3490,18,micro_dc_dcu,tolerant,2
9,5,2776,16,micro_dc_dcu,critical,4
10,5,5619,20,micro_dc_dcu,tolerant,3
11,6,1119,10,micro_dc_ucd,tolerant,1
12,6,1389,10,micro_dc_ucd,tolerant,0
13,6,2435,20,micro_dc_ucd,moderate,0
14,6,896,6,micro_dc_dcu,tolerant,0
15,7,1800,14,micro_dc_ucd,tolerant,1
16,7,2011,12,micro_dc_dcu,critical,3
17,8,187,1,micro_dc_ucd,moderate,3
18,9,1009,10,micro_dc_ucd,critical,0
19,9,1526,20,micro_dc_dcu,moderate,4
