job_id,arrival_time,mi,allocated_cores
0,0,150000,2
1,0,150000,1
2,0,250000,4
3,0,250000,2
4,0,250000,4
5,0,50000,1
6,0,50000,1
7,0,250000,1
8,0,100000,8
9,0,250000,8
10,0,250000,4
11,0,150000,2
12,0,250000,8
13,0,200000,1
14,0,250000,1
15,0,250000,4
16,0,100000,4
17,0,200000,1
18,0,50000,2
19,0,150000,8
20,0,200000,2
21,0,100000,4
22,0,50000,8
23,0,100000,4
24,0,50000,2
25,0,250000,1
26,0,250000,4
27,0,100000,1
28,0,200000,8
29,0,250000,4
30,0,200000,2
31,0,50000,2
32,0,50000,1
33,0,250000,2
34,0,200000,4
35,0,250000,4
36,0,200000,4
37,0,150000,8
38,0,50000,8
39,0,100000,8
40,0,200000,4
41,0,50000,2
42,0,200000,8
43,0,50000,1
44,0,50000,1
45,0,150000,4
46,0,50000,8
47,0,100000,2
48,0,200000,8
49,0,50000,8
50,0,100000,2
51,0,100000,1
52,0,150000,2
53,0,150000,2
54,0,200000,2
55,0,200000,2
56,0,250000,1
57,0,150000,1
58,0,150000,4
59,0,200000,2
60,0,100000,2
61,0,200000,4
62,0,250000,1
63,0,100000,2
64,0,250000,1
65,0,150000,8
66,0,150000,1
67,0,200000,2
68,0,250000,4
69,0,200000,8
70,0,200000,1
71,0,250000,4
72,1,50000,2
73,1,150000,4
74,1,150000,8
75,1,250000,2
76,1,250000,8
77,1,150000,1
78,1,250000,8
79,1,200000,4
80,1,250000,8
81,1,100000,1
82,1,250000,1
83,1,150000,8
84,1,200000,4
85,1,100000,4
86,1,250000,8
87,1,100000,8
88,1,50000,8
89,1,50000,1
90,2,150000,2
91,2,250000,2
92,2,100000,2
93,2,250000,4
94,2,200000,4
95,2,50000,2
96,2,50000,4
97,2,50000,1
98,2,200000,2
99,2,50000,1
100,2,150000,1
101,2,50000,2
102,2,50000,2
103,2,100000,4
104,2,250000,8
105,2,50000,8
106,2,200000,1
107,2,200000,4
108,3,50000,1
109,3,250000,8
110,3,200000,2
111,3,50000,8
112,3,50000,2
113,3,250000,8
114,3,150000,2
115,3,100000,2
116,3,150000,1
117,3,200000,8
118,3,150000,8
119,3,150000,8
120,3,100000,4
121,3,200000,4
122,3,50000,2
123,3,50000,1
124,3,100000,1
125,3,100000,8
126,4,50000,4
127,4,100000,4
128,4,200000,8
129,4,150000,8
130,4,50000,4
131,4,100000,2
132,4,100000,4
133,4,50000,1
134,4,250000,2
135,4,100000,2
136,4,250000,2
137,4,50000,8
138,4,250000,1
139,4,50000,2
140,4,100000,1
141,4,200000,1
142,4,100000,4
143,4,200000,1
144,10,200000,8
145,10,200000,8
146,10,50000,2
147,10,200000,4
148,10,150000,8
149,10,100000,4
150,10,150000,2
151,10,50000,4
152,10,200000,8
153,10,200000,2
154,10,150000,8
155,10,100000,2
156,10,100000,4
157,10,150000,8
158,10,200000,1
159,10,100000,2
160,10,200000,2
161,10,100000,2
162,10,100000,2
163,10,50000,2
164,10,250000,2
165,10,50000,2
166,10,50000,4
167,10,250000,1
168,10,250000,4
169,10,150000,2
170,10,250000,4
171,10,150000,1
172,10,150000,4
173,10,50000,4
174,10,150000,1
175,10,200000,8
176,10,50000,4
177,10,100000,1
178,10,250000,4
179,10,250000,4
180,10,50000,8
181,10,50000,4
182,10,150000,1
183,10,150000,2
184,10,250000,8
185,10,50000,4
186,10,250000,2
187,10,150000,1
188,10,250000,8
189,10,200000,4
190,10,100000,2
191,10,250000,1
192,10,200000,4
193,10,200000,8
194,10,150000,4
195,10,50000,4
196,10,100000,8
197,10,150000,8
198,10,100000,4
199,10,250000,4
200,10,250000,8
201,10,100000,8
202,10,50000,1
203,10,150000,4
204,10,100000,2
205,10,150000,8
206,10,200000,2
207,10,250000,8
208,10,50000,2
209,10,100000,8
210,10,200000,8
211,10,100000,1
212,10,50000,2
213,10,150000,4
214,10,50000,2
215,10,50000,1
216,11,100000,1
217,11,150000,2
218,11,250000,4
219,11,200000,8
220,11,100000,8
221,11,250000,2
222,11,150000,2
223,11,50000,8
224,11,200000,4
225,11,250000,8
226,11,100000,2
227,11,150000,2
228,11,250000,1
229,11,250000,1
230,11,250000,4
231,11,50000,1
232,11,250000,1
233,11,150000,2
234,12,50000,8
235,12,200000,4
236,12,50000,4
237,12,100000,2
238,12,150000,8
239,12,200000,8
240,12,100000,4
241,12,100000,1
242,12,150000,1
243,12,150000,4
244,12,150000,8
245,12,200000,8
246,12,250000,4
247,12,200000,8
248,12,50000,1
249,12,250000,8
250,12,100000,2
251,12,150000,1
252,13,150000,1
253,13,50000,4
254,13,50000,2
255,13,50000,2
256,13,50000,1
257,13,50000,4
258,13,200000,4
259,13,200000,8
260,13,50000,2
261,13,150000,2
262,13,50000,8
263,13,250000,4
264,13,150000,4
265,13,100000,8
266,13,50000,1
267,13,50000,1
268,13,200000,1
269,13,50000,4
270,14,150000,2
271,14,50000,2
272,14,150000,8
273,14,150000,8
274,14,50000,1
275,14,50000,2
276,14,100000,1
277,14,150000,8
278,14,150000,8
279,14,250000,8
280,14,100000,4
281,14,250000,8
282,14,100000,2
283,14,150000,8
284,14,250000,8
285,14,150000,1
286,14,100000,4
287,14,50000,4
288,15,100000,2
289,15,50000,4
290,15,150000,8
291,15,250000,4
292,15,50000,4
293,15,50000,8
294,15,200000,8
295,15,200000,4
296,15,150000,2
297,15,200000,1
298,15,250000,2
299,15,150000,4
300,15,50000,4
301,15,50000,1
302,15,150000,1
303,15,150000,2
304,15,200000,8
305,15,150000,2
306,20,50000,8
307,20,250000,4
308,20,250000,1
309,20,50000,8
310,20,150000,1
311,20,100000,2
312,20,100000,8
313,20,150000,1
314,20,50000,4
315,20,50000,1
316,20,250000,2
317,20,250000,4
318,20,50000,1
319,20,50000,4
320,20,250000,4
321,20,250000,1
322,20,250000,8
323,20,150000,1
324,20,150000,8
325,20,100000,1
326,20,150000,8
327,20,100000,4
328,20,200000,1
329,20,100000,8
330,20,250000,2
331,20,150000,2
332,20,100000,1
333,20,200000,4
334,20,150000,2
335,20,100000,4
336,20,100000,4
337,20,200000,8
338,20,100000,4
339,20,100000,4
340,20,150000,2
341,20,100000,8
342,20,200000,8
343,20,200000,8
344,20,200000,4
345,20,250000,8
346,20,200000,2
347,20,200000,2
348,20,150000,2
349,20,100000,4
350,20,50000,4
351,20,50000,2
352,20,200000,4
353,20,50000,1
354,20,100000,1
355,20,50000,4
356,20,200000,8
357,20,150000,4
