job_id,arrival_time,mi,allocated_cores
0,1,50,4
1,1,30,2
2,1,30,2
3,1,20,1
4,1,30,1
5,2,10,4
6,2,50,4
7,2,50,4
8,2,40,4
9,2,50,2
10,2,50,1
11,3,10,4
12,3,10,4
13,3,10,4
14,3,50,4
15,3,50,2
16,3,50,2
17,3,40,2
18,3,30,1
19,3,20,1
20,4,10,4
21,4,20,4
22,4,40,4
23,4,10,4
24,4,40,4
25,4,10,2
26,4,20,2
27,4,10,1
28,5,30,4
29,5,10,4
30,5,50,4
31,5,10,4
32,5,40,4
33,5,40,4
34,5,20,2
35,5,50,2
36,5,20,1
37,5,50,1
38,13,40,4
39,13,10,4
40,13,20,1
41,13,30,1
42,14,30,4
43,14,20,4
44,14,20,4
45,14,40,2
46,14,20,1
47,15,50,4
48,15,40,4
49,15,30,4
50,15,30,4
51,15,50,4
52,16,30,4
53,16,10,4
54,16,30,4
55,16,30,4
56,16,40,4
57,16,40,2
58,16,40,1
59,16,40,1
60,16,30,1
61,17,50,4
62,17,10,4
63,17,20,4
64,17,50,4
65,17,30,4
66,17,40,2
67,17,30,2
68,17,50,2
69,17,40,2
70,17,50,2
71,26,40,4
72,26,40,4
73,26,20,2
74,27,30,4
75,27,50,4
76,27,20,4
77,27,20,2
78,27,40,1
79,28,30,4
80,28,20,4
81,28,50,4
82,28,20,4
83,28,50,4
84,29,20,4
85,29,20,4
86,29,10,4
87,29,10,4
88,29,50,4
89,29,40,4
90,29,50,1
91,30,40,4
92,30,20,4
93,30,50,4
94,30,10,4
95,30,30,4
96,30,30,2
97,30,30,2
98,30,20,2
99,30,20,2
100,30,20,2
