,job_id,arrival_time,mi,allocated_cores
0,0,9,806,6
1,1,14,222,6
2,2,20,410,2
3,3,25,814,2
4,4,30,793,2
5,5,38,205,2
6,6,42,364,8
7,7,47,156,4
8,8,51,90,4
9,9,54,554,6
10,10,57,319,8
11,11,64,514,4
12,12,67,588,6
13,13,70,606,4
14,14,74,941,2
15,15,79,235,6
16,16,81,898,4
17,17,82,51,2
18,18,89,30,8
19,19,96,109,2
20,20,106,644,8
21,21,111,530,8
22,22,119,162,4
23,23,127,148,6
24,24,133,529,4
25,25,137,959,8
26,26,141,183,8
27,27,144,259,6
28,28,145,121,6
29,29,150,595,2
30,30,156,927,2
31,31,161,238,6
32,32,166,472,6
33,33,170,908,6
34,34,171,708,6
35,35,178,528,8
36,36,180,639,6
37,37,187,731,4
38,38,193,728,8
39,39,195,485,4
40,40,201,281,4
41,41,206,206,6
42,42,213,919,4
43,43,218,58,8
44,44,222,337,6
45,45,227,690,2
46,46,237,600,6
47,47,243,433,2
48,48,247,104,8
49,49,254,140,2
50,50,257,697,8
51,51,259,484,8
52,52,261,340,8
53,53,267,375,2
54,54,269,429,4
55,55,274,683,8
56,56,277,601,6
57,57,283,70,6
58,58,285,157,4
59,59,289,71,6
60,60,293,35,2
61,61,297,776,8
62,62,305,851,6
63,63,312,416,4
64,64,323,969,4
65,65,326,864,6
66,66,330,860,6
67,67,331,367,4
68,68,335,954,4
69,69,340,749,8
70,70,341,354,8
71,71,343,889,2
72,72,345,4,8
73,73,350,572,4
74,74,355,520,2
75,75,360,82,6
76,76,367,862,6
77,77,375,282,6
78,78,379,376,4
79,79,385,475,2
80,80,389,817,8
81,81,399,595,6
82,82,402,564,6
83,83,410,362,4
84,84,415,280,8
85,85,422,478,2
86,86,425,256,2
87,87,433,340,8
88,88,435,440,2
89,89,436,844,2
90,90,440,931,4
91,91,444,830,8
92,92,448,526,6
93,93,452,712,8
94,94,458,335,4
95,95,462,459,2
96,96,474,940,8
97,97,475,355,6
98,98,481,173,6
99,99,484,472,8
100,100,487,653,2
101,101,493,127,4
102,102,499,122,6
103,103,503,304,8
104,104,509,908,6
105,105,513,675,2
106,106,523,222,4
107,107,525,603,2
108,108,529,660,2
109,109,537,523,2
110,110,542,759,2
111,111,545,25,6
112,112,550,191,2
113,113,556,966,2
114,114,560,498,4
115,115,565,77,8
116,116,568,308,4
117,117,574,2,8
118,118,579,579,6
119,119,583,999,6
120,120,585,590,8
121,121,587,610,2
122,122,592,328,8
123,123,599,237,4
124,124,608,508,4
125,125,613,900,4
126,126,616,10,2
127,127,620,570,4
128,128,628,429,6
129,129,628,621,8
130,130,633,840,8
131,131,642,449,6
132,132,648,218,2
133,133,652,377,2
134,134,655,151,8
135,135,661,85,2
136,136,664,376,8
137,137,673,626,2
138,138,677,263,8
139,139,682,916,4
140,140,684,689,6
141,141,690,686,4
142,142,696,692,4
143,143,699,2,6
144,144,708,813,4
145,145,713,918,8
146,146,720,19,8
147,147,726,598,8
148,148,733,677,8
