job_id,arrival_time,mi,allocated_cores
0,2,696,1
1,3,378,1
2,4,180,1
3,6,25,1
4,8,67,1
5,9,679,1
6,9,454,1
7,9,537,1
8,14,897,1
9,15,990,1
10,16,217,1
11,18,663,1
12,18,263,1
13,19,21,1
14,20,758,1
15,22,320,1
16,24,383,1
17,25,588,1
18,25,831,1
19,27,629,1
20,27,873,1
21,27,274,1
22,27,798,1
23,28,186,1
24,29,953,1
25,29,687,1
26,29,216,1
27,30,947,1
28,31,731,1
29,31,254,1
30,31,213,1
31,32,518,1
32,32,26,1
33,33,207,1
34,33,425,1
35,34,374,1
36,37,464,1
37,38,278,1
38,38,587,1
39,38,864,1
40,38,118,1
41,38,517,1
42,38,132,1
43,39,717,1
44,41,396,1
45,42,565,1
46,44,183,1
47,45,145,1
48,46,488,1
49,46,356,1
50,47,940,1
51,48,765,1
52,49,749,1
53,51,904,1
54,52,83,1
55,53,552,1
56,55,584,1
57,56,962,1
58,57,292,1
59,60,241,1
60,61,100,1
61,63,16,1
62,64,930,1
63,64,670,1
64,65,785,1
65,66,282,1
66,66,586,1
67,66,64,1
68,67,486,1
69,69,977,1
70,71,877,1
71,73,338,1
72,74,962,1
73,77,232,1
74,78,949,1
75,79,941,1
76,82,799,1
77,82,630,1
78,83,874,1
79,87,293,1
80,87,849,1
81,88,618,1
82,89,13,1
83,89,347,1
84,89,148,1
85,90,982,1
86,90,478,1
87,92,497,1
88,92,639,1
89,93,369,1
90,93,137,1
91,95,822,1
92,97,190,1
93,98,511,1
94,98,224,1
95,100,98,1
96,100,862,1
97,100,973,1
98,100,961,1
99,101,907,1
100,103,407,1
101,105,232,1
102,110,132,1
103,111,53,1
104,111,726,1
105,111,11,1
106,118,771,1
107,119,147,1
108,122,80,1
109,125,90,1
110,130,672,1
111,132,245,1
112,134,421,1
113,134,557,1
114,135,861,1
115,138,727,1
116,139,270,1
117,141,131,1
118,142,55,1
119,142,302,1
120,143,262,1
121,144,456,1
122,145,683,1
123,146,696,1
124,151,284,1
125,152,380,1
126,153,181,1
127,154,789,1
128,154,57,1
129,156,697,1
130,157,779,1
131,160,777,1
132,160,259,1
133,162,374,1
134,163,588,1
135,164,273,1
136,166,371,1
137,169,197,1
138,170,460,1
139,174,45,1
140,179,800,1
141,183,77,1
142,184,519,1
143,186,307,1
144,188,578,1
145,190,959,1
146,193,646,1
147,196,35,1
148,198,430,1
149,201,510,1
150,203,536,1
151,203,681,1
152,207,278,1
153,213,129,1
154,215,393,1
155,216,956,1
156,217,187,1
157,219,904,1
158,221,544,1
159,222,457,1
160,224,882,1
161,228,459,1
162,229,724,1
163,231,399,1
164,232,904,1
165,233,690,1
166,235,700,1
167,236,328,1
168,236,757,1
169,236,636,1
170,241,240,1
171,243,161,1
172,245,796,1
173,249,959,1
174,252,458,1
175,255,591,1
176,256,858,1
177,256,457,1
178,257,952,1
179,259,576,1
180,261,821,1
181,262,909,1
182,265,816,1
183,266,159,1
184,271,629,1
185,274,398,1
186,275,63,1
187,275,424,1
188,279,259,1
189,279,849,1
190,283,33,1
191,287,959,1
192,290,355,1
193,290,357,1
194,291,16,1
195,295,185,1
196,296,401,1
197,297,929,1
198,298,100,1
199,304,945,1
200,309,185,1
201,315,401,1
202,317,929,1
203,317,100,1
204,324,945,1
205,327,869,1
206,330,454,1
207,331,327,1
208,337,233,1
209,338,614,1
210,341,33,1
211,344,16,1
212,346,429,1
213,348,68,1
214,350,252,1
215,352,221,1
216,355,253,1
217,358,131,1
218,361,12,1
219,362,115,1
220,363,618,1
221,365,974,1
222,369,990,1
223,373,409,1
224,375,163,1
225,376,639,1
226,377,490,1
227,381,989,1
