,job_id,arrival_time,mi,allocated_cores
0,0,2,696,1
1,1,3,378,1
2,2,4,180,1
3,3,6,25,1
4,4,8,67,1
5,5,9,679,1
6,6,9,454,1
7,7,9,537,1
8,8,14,897,1
9,9,15,990,1
10,10,16,217,1
11,11,18,663,1
12,12,18,263,1
13,13,19,21,1
14,14,20,758,1
15,15,22,320,1
16,16,24,383,1
17,17,25,588,1
18,18,25,831,1
19,19,27,629,1
20,20,27,873,1
21,21,27,274,1
22,22,27,798,1
23,23,28,186,1
24,24,29,953,1
25,25,29,687,1
26,26,29,216,1
27,27,30,947,1
28,28,31,731,1
29,29,31,254,1
30,30,31,213,1
31,31,32,518,1
32,32,32,26,1
33,33,33,207,1
34,34,33,425,1
35,35,34,374,1
36,36,37,464,1
37,37,38,278,1
38,38,38,587,1
39,39,38,864,1
40,40,38,118,1
41,41,38,517,1
42,42,38,132,1
43,43,39,717,1
44,44,41,396,1
45,45,42,565,1
46,46,44,183,1
47,47,45,145,1
48,48,46,488,1
49,49,46,356,1
50,50,47,940,1
51,51,48,765,1
52,52,49,749,1
53,53,51,904,1
54,54,52,83,1
55,55,53,552,1
56,56,55,584,1
57,57,56,962,1
58,58,57,292,1
59,59,60,241,1
60,60,61,100,1
61,61,63,16,1
62,62,64,930,1
63,63,64,670,1
64,64,65,785,1
65,65,66,282,1
66,66,66,586,1
67,67,66,64,1
68,68,67,486,1
69,69,69,977,1
70,70,71,877,1
71,71,73,338,1
72,72,74,962,1
73,73,77,232,1
74,74,78,949,1
75,75,79,941,1
76,76,82,799,1
77,77,82,630,1
78,78,83,874,1
79,79,87,293,1
80,80,87,849,1
81,81,88,618,1
82,82,89,13,1
83,83,89,347,1
84,84,89,148,1
85,85,90,982,1
86,86,90,478,1
87,87,92,497,1
88,88,92,639,1
89,89,93,369,1
90,90,93,137,1
91,91,95,822,1
92,92,97,190,1
93,93,98,511,1
94,94,98,224,1
95,95,100,98,1
96,96,100,862,1
97,97,100,973,1
98,98,100,961,1
99,99,101,907,1
