,job_id,arrival_time,mi,allocated_cores
0,0,2,614,20
1,1,3,33,20
2,2,4,16,6
3,3,6,429,12
4,4,8,68,10
5,5,9,252,20
6,6,9,221,18
7,7,9,253,16
8,8,14,131,2
9,9,15,12,6
10,10,16,115,16
11,11,18,618,20
12,12,18,974,2
13,13,19,990,10
14,14,20,409,16
15,15,22,163,1
16,16,24,639,6
17,17,25,490,14
18,18,25,989,2
19,19,27,65,14
20,20,27,783,16
21,21,27,288,1
22,22,27,241,14
23,23,28,663,10
24,24,29,246,20
25,25,29,666,18
26,26,29,517,18
27,27,30,424,12
28,28,31,555,16
29,29,31,287,14
30,30,31,707,10
31,31,32,415,18
32,32,32,361,2
33,33,33,829,1
34,34,33,925,1
35,35,34,46,10
36,36,37,233,12
37,37,38,349,6
38,38,38,815,12
39,39,38,985,2
40,40,38,969,14
41,41,38,905,14
42,42,38,297,20
43,43,39,992,1
44,44,41,249,14
45,45,42,106,12
46,46,44,951,1
47,47,45,233,8
48,48,46,690,4
49,49,46,58,14
50,50,47,731,10
51,51,48,882,4
52,52,49,272,16
53,53,51,379,20
54,54,52,374,10
55,55,53,749,12
56,56,55,238,12
57,57,56,172,8
58,58,57,449,2
59,59,60,304,10
60,60,61,839,8
61,61,63,238,10
62,62,64,502,10
63,63,64,943,12
64,64,65,634,6
65,65,66,867,16
66,66,66,940,2
67,67,66,751,8
68,68,67,700,4
69,69,69,968,18
70,70,71,994,14
71,71,73,452,8
72,72,74,71,2
73,73,77,293,16
74,74,78,152,4
75,75,79,417,6
76,76,82,131,6
77,77,82,604,8
78,78,83,383,2
79,79,87,895,20
80,80,87,968,12
81,81,88,547,4
82,82,89,275,10
83,83,89,592,8
84,84,89,897,20
85,85,90,407,20
86,86,90,552,18
87,87,92,272,2
88,88,92,455,10
89,89,93,402,18
90,90,93,248,8
91,91,95,506,10
92,92,97,310,14
93,93,98,373,8
94,94,98,525,8
95,95,100,751,4
96,96,100,334,4
97,97,100,924,2
98,98,100,862,6
99,99,101,49,1
100,100,102,254,2
101,101,102,446,18
102,102,102,105,2
103,103,102,348,12
104,104,103,740,18
105,105,106,681,16
106,106,107,622,12
107,107,107,711,6
108,108,108,205,1
109,109,109,342,14
110,110,112,676,20
111,111,113,879,6
112,112,115,544,20
113,113,117,283,20
114,114,117,30,4
115,115,118,710,10
116,116,118,8,18
117,117,119,373,14
118,118,120,531,6
119,119,122,922,8
120,120,123,89,14
121,121,124,406,12
122,122,125,24,14
123,123,125,343,6
124,124,126,622,12
125,125,130,279,18
126,126,131,210,6
127,127,132,116,14
128,128,132,577,2
129,129,132,695,6
130,130,132,672,20
131,131,135,949,14
132,132,136,3,16
133,133,139,647,16
134,134,140,600,8
135,135,145,589,10
136,136,147,963,6
137,137,147,17,12
138,138,147,696,18
139,139,149,814,12
140,140,150,510,4
141,141,150,334,18
142,142,151,791,6
143,143,152,97,10
144,144,152,442,14
145,145,157,520,18
146,146,157,694,1
147,147,158,91,14
148,148,158,228,2
149,149,158,410,4
150,150,159,623,10
151,151,160,887,1
152,152,160,619,10
153,153,160,133,16
154,154,161,981,18
155,155,162,872,16
156,156,164,503,4
157,157,164,922,10
158,158,164,541,6
159,159,164,923,2
160,160,164,830,14
161,161,165,968,6
162,162,166,920,20
163,163,167,36,16
164,164,168,175,10
165,165,171,389,20
166,166,172,952,10
167,167,172,300,2
168,168,173,160,18
169,169,174,886,14
170,170,175,446,20
171,171,176,908,4
172,172,178,160,2
173,173,178,661,1
174,174,179,440,2
175,175,180,76,1
176,176,180,696,2
177,177,180,247,2
178,178,182,40,12
179,179,184,60,16
180,180,186,61,16
181,181,187,908,20
182,182,189,740,6
183,183,191,898,4
184,184,191,673,1
185,185,193,529,14
186,186,195,304,8
187,187,199,998,12
188,188,199,362,1
189,189,200,471,10
190,190,200,378,6
191,191,201,980,6
192,192,202,175,18
193,193,203,328,20
194,194,203,680,8
195,195,203,63,18
196,196,203,607,1
197,197,205,478,12
198,198,208,284,10
199,199,208,238,6
