job_id,arrival_time,mi,required_cores,location,delay_sensitivity,deadline
0,1,97,1,micro_dc_aau,critical,1
1,1,263,1,micro_dc_dcu,critical,2
2,1,1879,18,micro_dc_dcu,moderate,3
3,2,1647,12,micro_dc_dcu,tolerant,5
4,2,880,10,micro_dc_dcu,tolerant,1
5,2,1897,8,micro_dc_dcu,critical,4
6,3,5019,20,micro_dc_ucd,tolerant,3
7,4,427,2,micro_dc_aau,tolerant,4
8,5,827,12,micro_dc_ucd,tolerant,1
9,5,1110,10,micro_dc_ucd,tolerant,5
10,5,1418,8,micro_dc_dcu,tolerant,1
11,5,2256,12,micro_dc_dcu,tolerant,5
12,6,359,2,micro_dc_aau,moderate,0
13,6,1434,12,micro_dc_dcu,critical,0
14,7,3293,18,micro_dc_dcu,moderate,4
15,7,1059,4,micro_dc_ucd,critical,5
16,7,1939,10,micro_dc_dcu,moderate,0
17,8,1331,8,micro_dc_aau,moderate,4
18,8,1759,10,micro_dc_dcu,critical,4
19,9,226,1,micro_dc_aau,moderate,5
20,9,3508,12,micro_dc_ucd,moderate,2
21,9,3514,16,micro_dc_aau,critical,2
22,10,122,1,micro_dc_ucd,critical,5
23,10,242,1,micro_dc_aau,tolerant,2
24,10,1699,16,micro_dc_ucd,moderate,1
25,11,3345,18,micro_dc_aau,tolerant,3
26,11,223,1,micro_dc_dcu,moderate,0
27,12,1518,10,micro_dc_ucd,tolerant,4
28,12,108,1,micro_dc_aau,tolerant,0
29,13,178,1,micro_dc_aau,tolerant,5
30,13,431,4,micro_dc_dcu,moderate,3
31,14,3391,20,micro_dc_ucd,moderate,1
32,14,173,2,micro_dc_aau,tolerant,2
33,15,292,4,micro_dc_ucd,critical,5
34,15,4037,18,micro_dc_dcu,moderate,2
35,16,3764,16,micro_dc_ucd,moderate,2
36,17,131,1,micro_dc_ucd,tolerant,1
37,18,921,4,micro_dc_dcu,critical,3
38,18,1700,6,micro_dc_aau,critical,2
39,19,622,4,micro_dc_dcu,tolerant,3
40,20,3358,16,micro_dc_ucd,moderate,5
41,20,1448,8,micro_dc_dcu,moderate,3
42,20,3545,16,micro_dc_dcu,critical,2
43,20,1289,16,micro_dc_dcu,tolerant,4
44,21,2007,8,micro_dc_aau,critical,2
45,21,610,6,micro_dc_dcu,critical,3
46,22,4661,20,micro_dc_ucd,critical,1
47,23,511,6,micro_dc_ucd,tolerant,4
48,24,2266,12,micro_dc_dcu,critical,2
49,25,4681,16,micro_dc_aau,critical,4
