job_id,arrival_time,mi,allocated_cores
0,1,100000,1
1,1,100000,2
2,1,250000,2
3,1,150000,2
4,1,200000,2
5,1,50000,4
6,1,50000,4
7,1,50000,4
8,1,150000,1
9,1,100000,1
10,1,150000,4
11,1,100000,1
12,1,200000,2
13,1,200000,4
14,1,250000,2
15,1,150000,4
16,1,150000,1
17,1,50000,1
18,1,100000,1
19,1,150000,2
20,1,150000,1
21,1,200000,2
22,1,50000,2
23,1,100000,2
24,1,200000,4
25,1,100000,1
26,1,250000,4
27,1,100000,4
28,1,150000,4
29,1,150000,4
30,1,200000,4
31,1,250000,4
32,1,200000,4
33,1,150000,1
34,1,50000,1
35,1,200000,1
36,1,50000,4
37,1,50000,2
38,1,250000,1
39,1,50000,4
40,1,50000,1
41,1,100000,4
42,1,100000,1
43,1,50000,2
44,1,200000,2
45,1,100000,1
46,1,50000,4
47,1,200000,4
48,1,250000,4
49,1,50000,2
50,1,50000,2
51,1,150000,2
52,1,250000,4
53,1,250000,1
54,1,100000,1
55,1,200000,1
56,1,250000,2
57,1,250000,2
58,1,50000,1
59,1,50000,1
60,1,50000,1
61,1,150000,2
62,1,250000,2
63,1,200000,1
64,1,50000,4
65,1,150000,1
66,1,50000,2
67,1,200000,4
68,1,250000,1
69,1,200000,4
70,1,150000,2
71,1,250000,2
72,1,250000,1
73,1,200000,4
74,1,150000,1
75,1,200000,2
76,1,100000,1
77,1,200000,4
78,1,150000,4
79,1,100000,1
80,1,200000,4
81,1,100000,2
82,1,100000,2
83,1,50000,4
84,1,200000,1
85,1,150000,4
86,1,100000,1
87,1,50000,1
88,1,200000,1
89,1,100000,2
90,1,50000,4
91,1,50000,1
92,1,250000,2
93,1,150000,1
94,1,100000,1
95,1,250000,2
96,1,150000,2
97,1,200000,1
98,1,50000,4
99,1,100000,4
100,1,150000,1
101,1,250000,4
102,1,250000,2
103,1,100000,1
104,1,50000,2
105,1,150000,1
106,1,200000,4
107,1,100000,2
108,1,200000,4
109,1,100000,2
110,1,100000,4
111,1,150000,2
112,1,150000,1
113,1,150000,1
114,1,150000,4
115,1,250000,2
116,1,150000,1
117,1,100000,4
118,1,50000,2
119,1,200000,2
120,1,250000,1
121,1,150000,4
122,1,50000,1
123,1,250000,2
124,1,50000,2
125,1,150000,4
126,1,100000,1
127,1,100000,2
128,1,100000,2
129,1,150000,1
130,1,50000,2
131,1,200000,2
132,1,250000,1
133,1,150000,1
134,1,150000,4
135,1,150000,4
136,1,150000,2
137,1,50000,4
138,1,100000,4
139,1,250000,4
140,1,50000,4
141,1,150000,2
142,1,100000,4
143,1,200000,2
144,1,150000,2
145,1,200000,4
146,1,50000,1
147,1,250000,1
148,1,150000,2
149,1,150000,2
150,1,100000,2
151,1,200000,4
152,1,100000,4
153,1,100000,4
154,1,100000,1
155,1,50000,4
156,1,50000,4
157,1,200000,2
158,1,50000,2
159,1,200000,1
160,1,100000,2
161,1,100000,4
162,1,100000,2
163,1,50000,2
164,1,150000,4
165,1,150000,4
166,1,100000,4
167,1,100000,2
168,1,250000,4
169,1,100000,4
170,1,200000,4
171,1,250000,1
172,1,200000,2
