job_id,arrival_time,mi,required_cores,location,delay_sensitivity,deadline
0,1,1000,6,micro_dc_ucd,critical,1
1,1,1000,6,micro_dc_ucd,critical,0
2,1,1000,6,micro_dc_ucd,tolerant,0
3,1,1000,6,micro_dc_dcu,tolerant,2
4,1,1000,6,micro_dc_dcu,moderate,1
5,1,1000,6,micro_dc_ucd,critical,0
6,1,1000,6,micro_dc_ucd,moderate,1
7,2,3000,16,micro_dc_dcu,tolerant,0
8,2,3000,16,micro_dc_ucd,critical,0
9,2,3000,16,micro_dc_dcu,critical,1
10,2,3000,16,micro_dc_ucd,tolerant,0
11,2,3000,16,micro_dc_ucd,tolerant,2
12,2,3000,16,micro_dc_ucd,moderate,3
13,2,3000,16,micro_dc_ucd,moderate,4
14,2,3000,16,micro_dc_ucd,moderate,3
15,3,1000,6,micro_dc_dcu,critical,5
16,4,500,1,micro_dc_dcu,tolerant,0
17,4,500,1,micro_dc_dcu,critical,1
18,4,500,1,micro_dc_ucd,critical,0
19,4,500,1,micro_dc_dcu,moderate,2
20,4,500,1,micro_dc_ucd,critical,0
21,4,500,1,micro_dc_ucd,critical,0
