job_id,arrival_time,mi,allocated_cores
0,0,250000,2
1,1,100000,8
2,1,50000,1
3,1,200000,4
4,1,150000,2
5,2,250000,8
6,2,50000,4
7,2,150000,1
8,2,200000,2
9,2,250000,8
10,3,100000,4
11,3,150000,8
12,3,250000,1
13,3,200000,2
14,3,50000,4
15,3,100000,1
16,3,200000,8
17,4,150000,2
18,4,250000,8
19,4,50000,4
20,4,100000,1
21,4,200000,8
22,5,150000,2
23,5,250000,4
24,5,50000,8
25,5,200000,2
26,5,150000,4
27,5,250000,1
28,5,50000,8
29,5,200000,2
30,5,100000,1
31,6,150000,4
32,7,250000,8
33,10,50000,1
34,13,200000,2
35,13,150000,8
36,13,100000,4
37,14,250000,8
38,14,50000,2
39,14,200000,4
40,15,100000,1
41,15,150000,2
42,15,250000,8
43,15,50000,4
44,16,200000,1
45,16,150000,4
46,16,250000,8
47,16,50000,2
48,16,100000,8
49,16,150000,4
50,17,200000,2
51,17,250000,8
52,17,50000,1
53,17,100000,2
54,17,200000,4
55,21,150000,8
56,22,250000,4
57,23,50000,1
58,23,100000,8
59,24,200000,4
60,24,150000,2
61,26,250000,8
62,26,100000,4
63,27,50000,1
64,27,200000,8
65,27,150000,2
66,28,250000,4
67,28,50000,8
68,28,100000,8
69,28,200000,2
70,29,150000,4
71,29,250000,8
72,29,50000,4
73,29,100000,1
74,29,200000,2
75,29,150000,8
76,29,250000,4
77,30,50000,8
78,30,100000,4
79,30,200000,1
80,30,150000,8
81,30,250000,2
82,0,250000,2
83,1,100000,8
84,1,50000,1
85,1,200000,4
86,1,150000,2
87,2,250000,8
88,2,50000,4
89,2,150000,1
90,2,200000,2
91,2,250000,8
92,3,100000,4
93,3,150000,8
94,3,250000,1
95,3,200000,2
96,3,50000,4
97,3,100000,1
98,3,200000,8
99,4,150000,2
100,4,250000,8
101,4,50000,4
102,4,100000,1
103,4,200000,8
104,5,150000,2
105,5,250000,4
106,5,50000,8
107,5,200000,2
108,5,150000,4
109,5,250000,1
110,5,50000,8
111,5,200000,2
112,5,100000,1
113,6,150000,4
114,7,250000,8
115,10,50000,1
116,13,200000,2
117,13,150000,8
118,13,100000,4
119,14,250000,8
120,14,50000,2
121,14,200000,4
122,15,100000,1
123,15,150000,2
124,15,250000,8
125,15,50000,4
126,16,200000,1
127,16,150000,4
128,16,250000,8
129,16,50000,2
130,16,100000,8
131,16,150000,4
132,17,200000,2
133,17,250000,8
134,17,50000,1
135,17,100000,2
136,17,200000,4
137,21,150000,8
138,22,250000,4
139,23,50000,1
140,23,100000,8
141,24,200000,4
142,24,150000,2
143,26,250000,8
144,26,100000,4
145,27,50000,1
146,27,200000,8
147,27,150000,2
148,28,250000,4
149,28,50000,8
150,28,100000,8
151,28,200000,2
152,29,150000,4
153,29,250000,8
154,29,50000,4
155,29,100000,1
156,29,200000,2
157,29,150000,8
158,29,250000,4
159,30,50000,8
160,30,100000,4
161,30,200000,1
162,30,150000,8
163,30,250000,2
