job_id,arrival_time,mi,allocated_cores
0,0,250000,2
82,0,250000,2
2,1,50000,1
1,1,100000,8
83,1,100000,8
86,1,150000,2
85,1,200000,4
84,1,50000,1
4,1,150000,2
3,1,200000,4
91,2,250000,8
88,2,50000,4
87,2,250000,8
7,2,150000,1
5,2,250000,8
6,2,50000,4
90,2,200000,2
8,2,200000,2
89,2,150000,1
9,2,250000,8
13,3,200000,2
14,3,50000,4
15,3,100000,1
16,3,200000,8
10,3,100000,4
12,3,250000,1
11,3,150000,8
97,3,100000,1
96,3,50000,4
95,3,200000,2
94,3,250000,1
93,3,150000,8
92,3,100000,4
98,3,200000,8
99,4,150000,2
101,4,50000,4
102,4,100000,1
103,4,200000,8
17,4,150000,2
100,4,250000,8
18,4,250000,8
21,4,200000,8
19,4,50000,4
20,4,100000,1
23,5,250000,4
24,5,50000,8
25,5,200000,2
26,5,150000,4
27,5,250000,1
28,5,50000,8
29,5,200000,2
22,5,150000,2
30,5,100000,1
106,5,50000,8
107,5,200000,2
108,5,150000,4
109,5,250000,1
110,5,50000,8
111,5,200000,2
112,5,100000,1
105,5,250000,4
104,5,150000,2
31,6,150000,4
113,6,150000,4
114,7,250000,8
32,7,250000,8
33,10,50000,1
115,10,50000,1
118,13,100000,4
117,13,150000,8
36,13,100000,4
35,13,150000,8
34,13,200000,2
116,13,200000,2
119,14,250000,8
121,14,200000,4
39,14,200000,4
120,14,50000,2
38,14,50000,2
37,14,250000,8
42,15,250000,8
41,15,150000,2
40,15,100000,1
43,15,50000,4
125,15,50000,4
122,15,100000,1
124,15,250000,8
123,15,150000,2
131,16,150000,4
45,16,150000,4
46,16,250000,8
47,16,50000,2
48,16,100000,8
49,16,150000,4
126,16,200000,1
130,16,100000,8
128,16,250000,8
127,16,150000,4
129,16,50000,2
44,16,200000,1
132,17,200000,2
133,17,250000,8
134,17,50000,1
135,17,100000,2
50,17,200000,2
51,17,250000,8
53,17,100000,2
54,17,200000,4
136,17,200000,4
52,17,50000,1
55,21,150000,8
137,21,150000,8
56,22,250000,4
138,22,250000,4
58,23,100000,8
140,23,100000,8
139,23,50000,1
57,23,50000,1
59,24,200000,4
141,24,200000,4
142,24,150000,2
60,24,150000,2
143,26,250000,8
61,26,250000,8
62,26,100000,4
144,26,100000,4
145,27,50000,1
146,27,200000,8
147,27,150000,2
63,27,50000,1
64,27,200000,8
65,27,150000,2
66,28,250000,4
67,28,50000,8
69,28,200000,2
151,28,200000,2
150,28,100000,8
149,28,50000,8
148,28,250000,4
68,28,100000,8
155,29,100000,1
153,29,250000,8
152,29,150000,4
154,29,50000,4
157,29,150000,8
156,29,200000,2
76,29,250000,4
75,29,150000,8
74,29,200000,2
73,29,100000,1
72,29,50000,4
71,29,250000,8
70,29,150000,4
158,29,250000,4
159,30,50000,8
160,30,100000,4
163,30,250000,2
162,30,150000,8
161,30,200000,1
80,30,150000,8
77,30,50000,8
78,30,100000,4
81,30,250000,2
79,30,200000,1
164,31,250000,2
246,31,250000,2
165,32,100000,8
166,32,50000,1
167,32,200000,4
168,32,150000,2
250,32,150000,2
249,32,200000,4
248,32,50000,1
247,32,100000,8
254,33,200000,2
255,33,250000,8
251,33,250000,8
253,33,150000,1
252,33,50000,4
171,33,150000,1
170,33,50000,4
172,33,200000,2
173,33,250000,8
169,33,250000,8
258,34,250000,1
259,34,200000,2
260,34,50000,4
261,34,100000,1
262,34,200000,8
178,34,50000,4
257,34,150000,8
174,34,100000,4
175,34,150000,8
176,34,250000,1
177,34,200000,2
179,34,100000,1
256,34,100000,4
180,34,200000,8
181,35,150000,2
182,35,250000,8
183,35,50000,4
184,35,100000,1
263,35,150000,2
264,35,250000,8
265,35,50000,4
185,35,200000,8
266,35,100000,1
267,35,200000,8
268,36,150000,2
269,36,250000,4
270,36,50000,8
271,36,200000,2
194,36,100000,1
273,36,250000,1
274,36,50000,8
275,36,200000,2
276,36,100000,1
186,36,150000,2
187,36,250000,4
188,36,50000,8
189,36,200000,2
190,36,150000,4
191,36,250000,1
192,36,50000,8
193,36,200000,2
272,36,150000,4
277,37,150000,4
195,37,150000,4
278,38,250000,8
196,38,250000,8
279,41,50000,1
197,41,50000,1
200,44,100000,4
281,44,150000,8
282,44,100000,4
199,44,150000,8
280,44,200000,2
198,44,200000,2
283,45,250000,8
285,45,200000,4
203,45,200000,4
284,45,50000,2
202,45,50000,2
201,45,250000,8
205,46,150000,2
204,46,100000,1
207,46,50000,4
206,46,250000,8
286,46,100000,1
287,46,150000,2
288,46,250000,8
289,46,50000,4
295,47,150000,4
208,47,200000,1
209,47,150000,4
210,47,250000,8
211,47,50000,2
212,47,100000,8
213,47,150000,4
294,47,100000,8
290,47,200000,1
291,47,150000,4
293,47,50000,2
292,47,250000,8
218,48,200000,4
217,48,100000,2
216,48,50000,1
215,48,250000,8
214,48,200000,2
300,48,200000,4
299,48,100000,2
298,48,50000,1
297,48,250000,8
296,48,200000,2
219,52,150000,8
301,52,150000,8
302,53,250000,4
220,53,250000,4
221,54,50000,1
304,54,100000,8
303,54,50000,1
222,54,100000,8
224,55,150000,2
305,55,200000,4
306,55,150000,2
223,55,200000,4
308,57,100000,4
307,57,250000,8
225,57,250000,8
226,57,100000,4
227,58,50000,1
228,58,200000,8
229,58,150000,2
309,58,50000,1
310,58,200000,8
311,58,150000,2
232,59,100000,8
231,59,50000,8
230,59,250000,4
315,59,200000,2
314,59,100000,8
313,59,50000,8
312,59,250000,4
233,59,200000,2
318,60,50000,4
319,60,100000,1
316,60,150000,4
320,60,200000,2
317,60,250000,8
240,60,250000,4
239,60,150000,8
238,60,200000,2
237,60,100000,1
236,60,50000,4
235,60,250000,8
234,60,150000,4
321,60,150000,8
322,60,250000,4
324,61,100000,4
325,61,200000,1
326,61,150000,8
327,61,250000,2
323,61,50000,8
242,61,100000,4
244,61,150000,8
241,61,50000,8
245,61,250000,2
243,61,200000,1
328,62,250000,2
410,62,250000,2
329,63,100000,8
330,63,50000,1
331,63,200000,4
332,63,150000,2
414,63,150000,2
413,63,200000,4
412,63,50000,1
411,63,100000,8
418,64,200000,2
419,64,250000,8
415,64,250000,8
417,64,150000,1
416,64,50000,4
335,64,150000,1
334,64,50000,4
336,64,200000,2
337,64,250000,8
333,64,250000,8
422,65,250000,1
423,65,200000,2
424,65,50000,4
425,65,100000,1
426,65,200000,8
342,65,50000,4
421,65,150000,8
338,65,100000,4
339,65,150000,8
340,65,250000,1
341,65,200000,2
343,65,100000,1
420,65,100000,4
344,65,200000,8
345,66,150000,2
346,66,250000,8
347,66,50000,4
348,66,100000,1
427,66,150000,2
428,66,250000,8
429,66,50000,4
349,66,200000,8
430,66,100000,1
431,66,200000,8
432,67,150000,2
433,67,250000,4
434,67,50000,8
435,67,200000,2
358,67,100000,1
437,67,250000,1
438,67,50000,8
439,67,200000,2
440,67,100000,1
350,67,150000,2
351,67,250000,4
352,67,50000,8
353,67,200000,2
354,67,150000,4
355,67,250000,1
356,67,50000,8
357,67,200000,2
436,67,150000,4
441,68,150000,4
359,68,150000,4
442,69,250000,8
360,69,250000,8
443,72,50000,1
361,72,50000,1
364,75,100000,4
445,75,150000,8
446,75,100000,4
362,75,200000,2
444,75,200000,2
363,75,150000,8
447,76,250000,8
