job_id,arrival_time,mi,allocated_cores
0,1,10,4
1,1,10,2
2,1,10,2
3,1,10,1
4,1,10,1
5,2,10,4
6,2,10,4
7,2,10,4
8,2,10,4
9,2,10,2
10,2,10,1
11,3,10,4
12,3,10,4
13,3,10,4
14,3,10,4
15,3,10,2
16,3,10,2
17,3,10,2
18,3,10,1
19,3,10,1
20,4,10,4
21,4,10,4
22,4,10,4
23,4,10,4
24,4,10,4
25,4,10,2
26,4,10,2
27,4,10,1
28,5,10,4
29,5,10,4
30,5,10,4
31,5,10,4
32,5,10,4
33,5,10,4
34,5,10,2
35,5,10,2
36,5,10,1
37,5,10,1
38,13,10,4
39,13,10,4
40,13,10,1
41,13,10,1
42,14,10,4
43,14,10,4
44,14,10,4
45,14,10,2
46,14,10,1
47,15,10,4
48,15,10,4
49,15,10,4
50,15,10,4
51,15,10,4
52,16,10,4
53,16,10,4
54,16,10,4
55,16,10,4
56,16,10,4
57,16,10,2
58,16,10,1
59,16,10,1
60,16,10,1
61,17,10,4
62,17,10,4
63,17,10,4
64,17,10,4
65,17,10,4
66,17,10,2
67,17,10,2
68,17,10,2
69,17,10,2
70,17,10,2
71,26,10,4
72,26,10,4
73,26,10,2
74,27,10,4
75,27,10,4
76,27,10,4
77,27,10,2
78,27,10,1
79,28,10,4
80,28,10,4
81,28,10,4
82,28,10,4
83,28,10,4
84,29,10,4
85,29,10,4
86,29,10,4
87,29,10,4
88,29,10,4
89,29,10,4
90,29,10,1
91,30,10,4
92,30,10,4
93,30,10,4
94,30,10,4
95,30,10,4
96,30,10,2
97,30,10,2
98,30,10,2
99,30,10,2
100,30,10,2
