job_id,arrival_time,mi,allocated_cores
0,0,10,2
1,1,10,8
2,1,10,1
3,1,10,4
4,1,10,2
5,2,10,8
6,2,10,4
7,2,10,1
8,2,10,2
9,2,10,8
10,3,10,4
11,3,10,8
12,3,10,1
13,3,10,2
14,3,10,4
15,3,10,1
16,3,10,8
17,4,10,2
18,4,10,8
19,4,10,4
20,4,10,1
21,4,10,8
22,5,10,2
23,5,10,4
24,5,10,8
25,5,10,2
26,5,10,4
27,5,10,1
28,5,10,8
29,5,10,2
30,5,10,1
31,6,10,4
32,7,10,8
33,10,10,1
34,13,10,2
35,13,10,8
36,13,10,4
37,14,10,8
38,14,10,2
39,14,10,4
40,15,10,1
41,15,10,2
42,15,10,8
43,15,10,4
44,16,10,1
45,16,10,4
46,16,10,8
47,16,10,2
48,16,10,8
49,16,10,4
50,17,10,2
51,17,10,8
52,17,10,1
53,17,10,2
54,17,10,4
55,21,10,8
56,22,10,4
57,23,10,1
58,23,10,8
59,24,10,4
60,24,10,2
61,26,10,8
62,26,10,4
63,27,10,1
64,27,10,8
65,27,10,2
66,28,10,4
67,28,10,8
68,28,10,2
69,28,10,4
70,29,10,8
71,29,10,4
72,29,10,1
73,29,10,2
74,29,10,8
75,29,10,4
76,29,10,8
77,30,10,4
78,30,10,1
79,30,10,8
80,30,10,2
81,30,10,8
82,31,10,4
83,31,10,8
84,31,10,1
85,31,10,2
