job_id,arrival_time,mi,allocated_cores
0,0,50,2
1,1,20,8
2,1,10,1
3,1,40,4
4,1,30,2
5,2,50,8
6,2,10,4
7,2,30,1
8,2,40,2
9,2,50,8
10,3,20,4
11,3,30,8
12,3,50,1
13,3,40,2
14,3,10,4
15,3,20,1
16,3,40,8
17,4,30,2
18,4,50,8
19,4,10,4
20,4,20,1
21,4,40,8
22,5,30,2
23,5,50,4
24,5,10,8
25,5,40,2
26,5,30,4
27,5,50,1
28,5,10,8
29,5,40,2
30,5,20,1
31,6,30,4
32,7,50,8
33,10,10,1
34,13,40,2
35,13,30,8
36,13,20,4
37,14,50,8
38,14,10,2
39,14,40,4
40,15,20,1
41,15,30,2
42,15,50,8
43,15,10,4
44,16,40,1
45,16,30,4
46,16,50,8
47,16,10,2
48,16,20,8
49,16,30,4
50,17,40,2
51,17,50,8
52,17,10,1
53,17,20,2
54,17,40,4
55,21,30,8
56,22,50,4
57,23,10,1
58,23,20,8
59,24,40,4
60,24,30,2
61,26,50,8
62,26,20,4
63,27,10,1
64,27,40,8
65,27,30,2
66,28,50,4
67,28,10,8
68,28,20,2
69,28,40,4
70,29,30,8
71,29,50,4
72,29,10,1
73,29,20,2
74,29,40,8
75,29,30,4
76,29,50,8
77,30,10,4
78,30,20,1
79,30,40,8
80,30,30,2
81,30,50,8
82,31,10,4
83,31,20,8
84,31,40,1
85,31,30,2
